STT;Dashboard/báo cáo;Thông tin;Mô tả;Nhóm yêu cầu;Phân loại;Đánh giá;Độ chi tiết;Nguồn;Trạng thái phân tích;Thông tin cần Test;Trạng thái phân tích;Test script verify mapping;BA Mapping;Cần dữ liệu lịch sử;Test script tại nguồn;Test script tại đích;Kết quả Test;Model;DMT
3.2.2.4;Dashboard Quá trình hành nghề của NHNCK;Tổ chức;Tên tổ chức (CTCK, CTQLQ, Chi nhánh CTCK nước ngoài, chi nhánh Cty QLQ nước ngoài) mà NHN đã/ đang công tác;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;"Organizations.OrganizationCode
Organizations.OrganizationName
";;;;;;
;Dashboard Quá trình hành nghề của NHNCK;Phân loại tổ chức;"Phân loại tổ chức mà NHNCK làm việc:
Mã loại tổ chức (1: CTCK, 2: QLQ, 3: Ngân hàng, 4: Khác)";;;;Mã người hành nghề;NHNCK;;;;;Organizations.OrganizationTypeId;;;;;;
;Dashboard Quá trình hành nghề của NHNCK;Nơi công tác;;;;;Mã người hành nghề;NHNCK;;;;;OrganizationReports.Workplace;;;;;;
3.2.2.4;Dashboard Quá trình hành nghề của NHNCK;Vị trí;Vị trí công tác;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;OrganizationReports.Position;;;;;;
;Dashboard Quá trình hành nghề của NHNCK;Phòng ban;;;;;Mã người hành nghề;NHNCK;;;;;OrganizationReports.Department;;;;;;
3.2.2.4;Dashboard Quá trình hành nghề của NHNCK;Từ tháng;Thời gian bắt đầu làm việc/ Ngày tiếp nhận;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;OrganizationReports.HireDate;;;;;;
3.2.2.4;Dashboard Quá trình hành nghề của NHNCK;Đến tháng;Thời gian kết thúc làm việc, nếu còn đang làm việc thì hiển thị “Hiện nay”;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;"If OrganizationReports.TerminationDate is null then ""Hiện nay""";OrganizationReports.TerminationDate;;;;;;
3.2.2.4;Dashboard Quá trình hành nghề của NHNCK;Trạng thái;"Trạng thái làm việc tại từng nơi công tác:
- Quá khứ: Không còn làm việc
- Hiện tại: Đang làm việc";Dashboard;Chỉ tiêu phái sinh;Dễ;Mã người hành nghề;NHNCK;x;x;;;"Hệ thống tự tính: Nếu 'Đến tháng"" null thì ""Đang làm việc"", nếu đến tháng có giá trị thì cập nhật ""đã nghỉ/ Không còn làm việc""";ProfessionalHistories.StatusWork;;;;;
3.2.2.5;Dashboard Lịch sử cấp chứng chỉ của NHNCK;Số CCHN;Thông tin số CCHN đã cấp;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;OrganizationReports.CertificateNumber;;;;;;
3.2.2.5;Dashboard Lịch sử cấp chứng chỉ của NHNCK;Loại hình;Loại hình hành nghề được cấp;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;"Certificates.CertificateCode
Certificates.CertificateName";;;;;;
3.2.2.5;Dashboard Lịch sử cấp chứng chỉ của NHNCK;Ngày cấp;Ngày cấp CCHN;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;OrganizationReports.IssueDate;;;;;;
3.2.2.5;Dashboard Lịch sử cấp chứng chỉ của NHNCK;Ngày thu hồi;Ngày thu hồi CCHN (nếu có);Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;CertificateRecords.RevocationDate;;;;;;
3.2.2.5;Dashboard Lịch sử cấp chứng chỉ của NHNCK;Quyết định;Số quyết định cấp CCHN;Dashboard;Chỉ tiêu cơ sở;Dễ;Mã người hành nghề;NHNCK;x;x;;;CertificateRecords.IssueDecisionId;;;;;;
