;;;;;;;;;;;;;;;Khai thác nguồn;;;;;;;;;;
4;;Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng;Phân loại vi phạm;"Phân loại đối tượng: 
- Cá nhân 
- CTĐC 
- CTCK 
- CTQLQ";Dashboard;Chiều;Dễ;;Thanh tra;;x;;Done;;INSPECTION_TEAM_TARGET;TARGET_TYPE;;"SELECT EXTRACT(YEAR FROM a.DECISION_DATE) ""Năm"",
CASE WHEN b.TARGET_TYPE = 'SECURITIES_COMPANY' THEN 'CTCK'
WHEN b.TARGET_TYPE = 'FUND_MANAGEMENT_COMPANY' THEN 'CTQLQ'
WHEN b.TARGET_TYPE = 'PUBLIC_COMPANY' THEN 'CTĐC'
WHEN b.TARGET_TYPE = 'INDIVIDUAL' THEN 'CÁ NHÂN'
WHEN b.TARGET_TYPE = 'BOND_ISSUER' THEN 'TỔ CHỨC PHTP'
ELSE 'KHÁC'
END ""Phân loại đối tượng"",
COUNT(DISTINCT a.ID) ""Số lượng"",
COUNT(DISTINCT a.ID)*100/(SUM(COUNT(DISTINCT a.ID)) OVER (PARTITION BY COALESCE(EXTRACT(YEAR FROM a.DECISION_DATE),0))) ""Tỷ lệ""
FROM THANHTRA_UAT.INSPECTION_TEAM a
JOIN THANHTRA_UAT.INSPECTION_TEAM_TARGET b ON a.ID = b.INSPECTION_TEAM_ID
WHERE EXTRACT(YEAR FROM a.DECISION_DATE) = :filter_year --Điều kiện lọc
AND a.DELETED = 0 AND b.DELETED = 0
GROUP BY EXTRACT(YEAR FROM a.DECISION_DATE),
b.TARGET_TYPE
ORDER BY EXTRACT(YEAR FROM a.DECISION_DATE) DESC";;;;;Done;Dữ liệu tĩnh;F
4;;Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng;Số lượng vi phạm đối tượng Cá nhân;Số lượng vi phạm theo đối tượng Cá nhân;Dashboard;Chỉ tiêu cơ sở;TB;Năm, loại vi phạm;Thanh tra;x;x;;Done;;INSPECTION_TEAM;ID;;;;;;Done;Dữ liệu tĩnh;F;
4;;Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng;Tỷ lệ % số lượng vi phạm đối tượng Cá nhân (%);Tỷ lệ % số lượng vi phạm theo đối tượng Cá nhân;Dashboard;Chỉ tiêu phái sinh;Dễ;Năm, loại vi phạm;Thanh tra;;x;;Done;;INSPECTION_TEAM;ID;;;;;;Done;Dữ liệu tĩnh;F;
4;;Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng;Số lượng vi phạm đối tượng CTĐC;Số lượng vi phạm theo đối tượng CTĐC;Dashboard;Chỉ tiêu cơ sở;TB;Năm, loại vi phạm;Thanh tra;x;x;;Done;;INSPECTION_TEAM;ID;;;;;;Done;Dữ liệu tĩnh;F;
4;;Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng;Tỷ lệ % số lượng vi phạm đối tượng CTĐC (%);Tỷ lệ % số lượng vi phạm theo đối tượng CTĐC;Dashboard;Chỉ tiêu phái sinh;Dễ;Năm, loại vi phạm;Thanh tra;;x;;Done;;INSPECTION_TEAM;ID;;;;;;Done;Dữ liệu tĩnh;F;
4;;Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng;Số lượng vi phạm đối tượng CTCK;Số lượng vi phạm theo đối tượng CTCK;Dashboard;Chỉ tiêu cơ sở;TB;Năm, loại vi phạm;Thanh tra;x;x;;Done;;INSPECTION_TEAM;ID;;;;;;Done;Dữ liệu tĩnh;F;
4;;Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng;Tỷ lệ % số lượng vi phạm đối tượng CTCK (%);Tỷ lệ % số lượng vi phạm theo đối tượng CTCK;Dashboard;Chỉ tiêu phái sinh;Dễ;Năm, loại vi phạm;Thanh tra;;x;;Done;;INSPECTION_TEAM;ID;;;;;;Done;Dữ liệu tĩnh;F;
4;;Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng;Số lượng vi phạm đối tượng CTQLQ;Số lượng vi phạm theo đối tượng CTQLQ;Dashboard;Chỉ tiêu cơ sở;TB;Năm, loại vi phạm;Thanh tra;x;x;;Done;;INSPECTION_TEAM;ID;;;;;;Done;Dữ liệu tĩnh;F;
4;;Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng;Tỷ lệ % số lượng vi phạm đối tượng CTQLQ (%);Tỷ lệ % số lượng vi phạm theo đối tượng CTQLQ;Dashboard;Chỉ tiêu phái sinh;Dễ;Năm, loại vi phạm;Thanh tra;;x;;Done;;INSPECTION_TEAM;ID;;;;;;Done;Dữ liệu tĩnh;F;
5;;Dashboard Hoạt động Thanh tra >> Danh sách;Mã vụ việc;Mã vụ việc;Dashboard;Chiều;Dễ;;Thanh tra;;x;;Done;;INSPECTION_TEAM;CODE;;"SELECT DISTINCT EXTRACT(YEAR FROM a.DECISION_DATE) ""Năm"",
a.CODE ""Mã vụ việc"",
b.TARGET_NAME ""Đối tượng"",
CASE WHEN b.TARGET_TYPE = 'SECURITIES_COMPANY' THEN 'CTCK'
WHEN b.TARGET_TYPE = 'FUND_MANAGEMENT_COMPANY' THEN 'CTQLQ'
WHEN b.TARGET_TYPE = 'PUBLIC_COMPANY' THEN 'CTĐC'
WHEN b.TARGET_TYPE = 'AUDIT_COMPANY' THEN 'CTKT'
WHEN b.TARGET_TYPE = 'CRYPTO_SERVICE_PROVIDER' THEN 'TỔ CHỨC MÃ HÓA'
WHEN b.TARGET_TYPE = 'INDIVIDUAL' THEN 'CÁ NHÂN'
WHEN b.TARGET_TYPE = 'ORGANIZATION' THEN 'TỔ CHỨC'
ELSE 'KHÁC'
END ""Phân loại đối tượng"",
CASE WHEN a.FORM_TYPE = 'UNSCHEDULED' THEN 'Đột xuất' 
WHEN a.FORM_TYPE = 'PERIODIC' THEN 'Định kỳ' 
ELSE NULL
END ""Loại hình"",
CASE WHEN a.START_DATE IS NOT NULL AND a.END_DATE IS NULL THEN 'Đang thực hiện'
WHEN a.START_DATE IS NOT NULL AND a.END_DATE IS NOT NULL THEN 'Đã hoàn thành'
WHEN a.START_DATE IS NULL AND a.END_DATE IS NULL THEN 'Chưa thực hiện'
ELSE NULL
END ""Trạng thái""
FROM THANHTRA_UAT.INSPECTION_TEAM a
JOIN THANHTRA_UAT.INSPECTION_TEAM_TARGET b ON a.ID = b.INSPECTION_TEAM_ID
WHERE EXTRACT(YEAR FROM a.DECISION_DATE) = :filter_year --Điều kiện lọc
AND a.DELETED = 0 AND b.DELETED = 0
ORDER BY EXTRACT(YEAR FROM a.DECISION_DATE) DESC";;;;;Done;Dữ liệu tĩnh;F
5;;Dashboard Hoạt động Thanh tra >> Danh sách;Đối tượng;Tên đối tượng bị thanh tra/kiểm tra;Dashboard;Chiều;Dễ;Năm, vụ việc;Thanh tra;;x;;Done;;INSPECTION_TEAM_TARGET;TARGET_NAME;;;;;;Done;Dữ liệu tĩnh;F;
