Tên bảng,Tên trường,Mô tả,Khóa,Ghi chú (FK suy luận)
QRTZ_FIRED_TRIGGERS,PRIORITY,,,
QRTZ_FIRED_TRIGGERS,STATE,,,
QRTZ_FIRED_TRIGGERS,JOB_NAME,,,
QRTZ_FIRED_TRIGGERS,JOB_GROUP,,,
QRTZ_FIRED_TRIGGERS,IS_NONCONCURRENT,,,
QRTZ_FIRED_TRIGGERS,REQUESTS_RECOVERY,,,
QRTZ_JOB_DETAILS,SCHED_NAME,,PK,
QRTZ_JOB_DETAILS,JOB_NAME,,PK,
QRTZ_JOB_DETAILS,JOB_GROUP,,PK,
QRTZ_JOB_DETAILS,DESCRIPTION,,,
QRTZ_JOB_DETAILS,JOB_CLASS_NAME,,,
QRTZ_JOB_DETAILS,IS_DURABLE,,,
QRTZ_JOB_DETAILS,IS_NONCONCURRENT,,,
QRTZ_JOB_DETAILS,IS_UPDATE_DATA,,,
QRTZ_JOB_DETAILS,REQUESTS_RECOVERY,,,
QRTZ_JOB_DETAILS,JOB_DATA,,,
QRTZ_LOCKS,SCHED_NAME,,PK,
QRTZ_LOCKS,LOCK_NAME,,PK,
QRTZ_PAUSED_TRIGGER_GRPS,SCHED_NAME,,PK,
QRTZ_PAUSED_TRIGGER_GRPS,TRIGGER_GROUP,,PK,
QRTZ_SCHEDULER_STATE,SCHED_NAME,,PK,
QRTZ_SCHEDULER_STATE,INSTANCE_NAME,,PK,
QRTZ_SCHEDULER_STATE,LAST_CHECKIN_TIME,,,
QRTZ_SCHEDULER_STATE,CHECKIN_INTERVAL,,,
QRTZ_SIMPLE_TRIGGERS,SCHED_NAME,,PK/FK,FK → QRTZ_TRIGGERS.SCHED_NAME
QRTZ_SIMPLE_TRIGGERS,TRIGGER_NAME,,PK/FK,FK → QRTZ_TRIGGERS.TRIGGER_NAME
QRTZ_SIMPLE_TRIGGERS,TRIGGER_GROUP,,PK/FK,FK → QRTZ_TRIGGERS.TRIGGER_GROU
QRTZ_SIMPLE_TRIGGERS,REPEAT_COUNT,,,
QRTZ_SIMPLE_TRIGGERS,REPEAT_INTERVAL,,,
QRTZ_SIMPLE_TRIGGERS,TIMES_TRIGGERED,,,
QRTZ_SIMPROP_TRIGGERS,SCHED_NAME,,PK/FK,FK → QRTZ_TRIGGERS.SCHED_NAME
QRTZ_SIMPROP_TRIGGERS,TRIGGER_NAME,,PK/FK,FK → QRTZ_TRIGGERS.TRIGGER_NAME
QRTZ_SIMPROP_TRIGGERS,TRIGGER_GROUP,,PK/FK,FK → QRTZ_TRIGGERS.TRIGGER_GROU
QRTZ_SIMPROP_TRIGGERS,STR_PROP_1,,,
QRTZ_SIMPROP_TRIGGERS,STR_PROP_2,,,
QRTZ_SIMPROP_TRIGGERS,STR_PROP_3,,,
QRTZ_SIMPROP_TRIGGERS,INT_PROP_1,,,
QRTZ_SIMPROP_TRIGGERS,INT_PROP_2,,,
QRTZ_SIMPROP_TRIGGERS,LONG_PROP_1,,,
QRTZ_SIMPROP_TRIGGERS,LONG_PROP_2,,,
QRTZ_SIMPROP_TRIGGERS,DEC_PROP_1,,,
QRTZ_SIMPROP_TRIGGERS,DEC_PROP_2,,,
QRTZ_SIMPROP_TRIGGERS,BOOL_PROP_1,,,
QRTZ_SIMPROP_TRIGGERS,BOOL_PROP_2,,,
QRTZ_TRIGGERS,SCHED_NAME,,PK/FK,FK → QRTZ_JOB_DETAILS.SCHED_NAM
QRTZ_TRIGGERS,TRIGGER_NAME,,PK,
QRTZ_TRIGGERS,TRIGGER_GROUP,,PK,
QRTZ_TRIGGERS,JOB_NAME,,FK,FK → QRTZ_JOB_DETAILS.JOB_NAME
QRTZ_TRIGGERS,JOB_GROUP,,FK,FK → QRTZ_JOB_DETAILS.JOB_GROUP
QRTZ_TRIGGERS,DESCRIPTION,,,
QRTZ_TRIGGERS,NEXT_FIRE_TIME,,,
QRTZ_TRIGGERS,PREV_FIRE_TIME,,,
QRTZ_TRIGGERS,PRIORITY,,,
QRTZ_TRIGGERS,TRIGGER_STATE,,,
QRTZ_TRIGGERS,TRIGGER_TYPE,,,
QRTZ_TRIGGERS,START_TIME,,,
QRTZ_TRIGGERS,END_TIME,,,
QRTZ_TRIGGERS,CALENDAR_NAME,,,
QRTZ_TRIGGERS,MISFIRE_INSTR,,,
QRTZ_TRIGGERS,JOB_DATA,,,
RISK_ALERT,ID,Primary key,PK,
RISK_ALERT,ALERT_CONFIG_ID,Cấu hình cảnh báo,FK,FK → RISK_ALERT_CONFIG.ID
RISK_ALERT,INDICATOR_TYPE,1=Chỉ tiêu hệ thống 2=Chỉ tiêu tự tạo,,
RISK_ALERT,INDICATOR_ID,Id chỉ tiêu hệ thống,FK,FK → RISK_INDICATOR.ID
RISK_ALERT,CUSTOM_INDICATOR_ID,Id chỉ tiêu tự tạo,FK,FK → RISK_INDICATOR_CUSTOM.ID
RISK_ALERT,PERIOD_DATE,Kỳ dữ liệu bị cảnh báo,,
RISK_ALERT,CURRENT_VALUE,Giá trị hiện tại,,
RISK_ALERT,PREVIOUS_VALUE,"Giá trị kỳ trước (dùng để hiển thị, có thể null nếu không xác định)",,
RISK_ALERT,CHANGE_AMOUNT,Giá trị chênh lệch,,
RISK_ALERT,CHANGE_PERCENT,Chênh lệch %,,
