Tên bảng,Tên trường,Kiểu dữ liệu,Mô tả,Khóa,Ghi chú (FK suy luận)
PROVINCE_OLD,UPDATED_BY_ID,VARCHAR2(36 CHAR),*Người cập nhật*,,FK suy luận → UBCK_STAFF.ID
PROVINCE_OLD,UPDATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người cập nhật*,,FK suy luận → UBCK_STAFF.ID
PROVINCE_OLD,STABLE_ID,VARCHAR2(36 CHAR),*ID bản ghi ổn định - không đổi qua các version*,,
PROVINCE_OLD,REGION_VERSION_ID,VARCHAR2(36 CHAR),*ID phiên bản của Region (lưu region.id hiện tại)*,,
PROVINCE_OLD,COUNTRY_VERSION_ID,VARCHAR2(36 CHAR),*ID phiên bản của Country (lưu country.id hiện tại)*,,
PROVINCE_OLD,PROVINCE_NEW_VERSION_ID,VARCHAR2(36 CHAR),*ID phiên bản của ProvinceNew (lưu province_new.id hiện tại)*,,
PROVINCE_OLD,IDX_PROVINCE_OLD_REGION_ID,REGION_ID,,,
PROVINCE_OLD,IDX_PROVINCE_OLD_PROV_NEW_ID,PROVINCE_NEW_ID,,,
PROVINCE_OLD,IDX_PROVINCE_OLD_COUNTRY_ID,COUNTRY_ID,,,
PROVINCE_OLD,IDX_PROVINCE_OLD_ACTIVE,"ACTIVE, DELETED",,,
PROVINCE_OLD,IDX_PROVINCE_OLD_OLD_ID,OLD_ID,,,
PROVINCE_OLD,IDX_PROVINCE_OLD_STABLE_ID,STABLE_ID,,,
DISTRICT_OLD,ID,VARCHAR2(36 CHAR),*Khóa chính (UUIDv7)*,PK,
DISTRICT_OLD,CODE,VARCHAR2(50 CHAR),*Mã quận/huyện*,,
DISTRICT_OLD,NAME,VARCHAR2(255 CHAR),*Tên phân hệ*,,
DISTRICT_OLD,PROVINCE_OLD_ID,VARCHAR2(36 CHAR),*Stable Id** tỉnh/thành phố cũ (tham chiếu province_old.**stableId**)*,,FK suy luận → PROVINCE_OLD.ID
DISTRICT_OLD,DISPLAY_LABEL,VARCHAR2(255 CHAR),*Nhãn hiển thị*,,
DISTRICT_OLD,ACTIVE,NUMBER(1),"*Trạng thái (1: Active, 0: unactive)*",,
DISTRICT_OLD,ACTIVE_REASON,CLOB,*Thời điểm tạo*,,
DISTRICT_OLD,DELETED,NUMBER(1),*Thời điểm cập nhật*,,
DISTRICT_OLD,VERSION,NUMBER(MAX),*Phiên bản*,,
DISTRICT_OLD,EFFECTIVE_START_DATE,TIMESTAMP(6),*Ngày bắt đầu*,,
DISTRICT_OLD,EFFECTIVE_END_DATE,TIMESTAMP(6),*Ngày kết thúc*,,
DISTRICT_OLD,OLD_ID,VARCHAR2(36 CHAR),*ID cũ*,,
DISTRICT_OLD,CREATED_AT,TIMESTAMP(6),*Ngày tạo*,,
DISTRICT_OLD,UPDATED_AT,TIMESTAMP(6),*Ngày cập nhật*,,
DISTRICT_OLD,CREATED_BY_ID,VARCHAR2(36 CHAR),*ID người tạo*,,FK suy luận → UBCK_STAFF.ID
DISTRICT_OLD,CREATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người tạo*,,FK suy luận → UBCK_STAFF.ID
DISTRICT_OLD,UPDATED_BY_ID,VARCHAR2(36 CHAR),*ID người cập nhật*,,FK suy luận → UBCK_STAFF.ID
DISTRICT_OLD,UPDATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người cập nhật*,,FK suy luận → UBCK_STAFF.ID
DISTRICT_OLD,STABLE_ID,VARCHAR2(36 CHAR),*ID ổn định*,,
DISTRICT_OLD,PROVINCE_OLD_VERSION_ID,VARCHAR2(36 CHAR),*ID phiên bản của ProvinceOld (lưu **province_old.id hiện tại)*,,
DISTRICT_OLD,IDX_DISTRICT_OLD_PROV_ID,PROVINCE_OLD_ID,,,
DISTRICT_OLD,IDX_DISTRICT_OLD_ACTIVE,"ACTIVE, DELETED",,,
DISTRICT_OLD,IDX_DISTRICT_OLD_OLD_ID,OLD_ID,,,
DISTRICT_OLD,IDX_DISTRICT_OLD_STABLE_ID,STABLE_ID,,,
WARD_NEW,ID,VARCHAR2(36 CHAR),*Khóa chính (UUIDv7)*,PK,
WARD_NEW,CODE,VARCHAR2(20 CHAR),*Mã phường/xã*,,
WARD_NEW,NAME_VN,VARCHAR2(255 CHAR),*Tên tiếng Việt*,,
WARD_NEW,NAME_EN,VARCHAR2(255 CHAR),*Tên tiếng Anh*,,
WARD_NEW,CATEGORY,VARCHAR2(50 CHAR),*Loại đơn vị hành chính (Phường/Xã/Thị trấn)*,,
WARD_NEW,PROVINCE_NEW_ID,VARCHAR2(36 CHAR),*Stable Id** tỉnh/thành phố mới (tham chiếu **p**rovince_new.**stableId**)*,,FK suy luận → PROVINCE_NEW.ID
WARD_NEW,EFFECTIVE,NUMBER(1),"Tình trạng (1: Hiệu lực, 0: Hết hiệu lực)",,
WARD_NEW,DISPLAY_LABEL,VARCHAR2(255 CHAR),*Nhãn hiển thị*,,
WARD_NEW,ACTIVE,NUMBER(1),"Trạng thái hoạt động (1: Đang sử dụng, 0: Không sử dụng)",,
WARD_NEW,ACTIVE_REASON,CLOB,*Lý do hoạt động*,,
WARD_NEW,DELETED,NUMBER(1),"Xóa mềm (0: Chưa xóa, 1: Đã xóa)",,
WARD_NEW,DELETED_REASON,CLOB,*Lý do xóa*,,
WARD_NEW,VERSION,NUMBER(MAX),*Phiên bản*,,
WARD_NEW,EFFECTIVE_START_DATE,TIMESTAMP(6),*Ngày bắt đầu*,,
WARD_NEW,EFFECTIVE_END_DATE,TIMESTAMP(6),*Ngày kết thúc*,,
WARD_NEW,OLD_ID,VARCHAR2(36 CHAR),*ID cũ*,,
WARD_NEW,CREATED_AT,TIMESTAMP(6),*Ngày tạo*,,
WARD_NEW,UPDATED_AT,TIMESTAMP(6),*Ngày cập nhật*,,
WARD_NEW,CREATED_BY_ID,VARCHAR2(36 CHAR),*Người tạo*,,FK suy luận → UBCK_STAFF.ID
WARD_NEW,CREATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người tạo*,,FK suy luận → UBCK_STAFF.ID
WARD_NEW,UPDATED_BY_ID,VARCHAR2(36 CHAR),*Người cập nhật*,,FK suy luận → UBCK_STAFF.ID
WARD_NEW,UPDATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người cập nhật*,,FK suy luận → UBCK_STAFF.ID
WARD_NEW,STABLE_ID,VARCHAR2(36 CHAR),*ID bản ghi ổn định - không đổi qua các version*,,
WARD_NEW,PROVINCE_NEW_VERSION_ID,VARCHAR2(36 CHAR),*ID phiên bản của ProvinceNew (lưu province_new.id hiện tại)*,,
WARD_NEW,IDX_WARD_NEW_PROV_NEW_ID,PROVINCE_NEW_ID,,,
WARD_NEW,IDX_WARD_NEW_ACTIVE,"ACTIVE, DELETED",,,
WARD_NEW,IDX_WARD_NEW_OLD_ID,OLD_ID,,,
WARD_NEW,IDX_WARD_NEW_STABLE_ID,STABLE_ID,,,
WARD_OLD,ID,VARCHAR2(36 CHAR),*Khóa chính (UUIDv7)*,PK,
WARD_OLD,CODE,VARCHAR2(20 CHAR),*Mã phường/xã'*,,
WARD_OLD,NAME_VN,VARCHAR2(255 CHAR),*Tên tiếng Việt*,,
WARD_OLD,NAME_EN,VARCHAR2(255 CHAR),*Tên tiếng Anh*,,
WARD_OLD,CATEGORY,VARCHAR2(50 CHAR),*Loại đơn vị hành chính (Phường/Xã/Thị trấn)*,,
WARD_OLD,DISTRICT_OLD_ID,VARCHAR2(36 CHAR),*Stable Id** quận/huyện cũ (tham chiếu distric**t_old.**stableId**)*,,FK suy luận → DISTRICT_OLD.ID
WARD_OLD,EFFECTIVE,NUMBER(1),"Tình trạng (1: Hiệu lực, 0: Hết hiệu lực)",,
WARD_OLD,DISPLAY_LABEL,VARCHAR2(255 CHAR),*Nhãn hiển thị*,,
WARD_OLD,WARD_NEW_ID,VARCHAR2(36 CHAR),*Stable Id** **phường/xã mới**(tham chiếu **ward_new**.**stableId**)*,,FK suy luận → WARD_NEW.ID
WARD_OLD,ACTIVE,NUMBER(1),"Trạng thái hoạt động (1: Đang sử dụng, 0: Không sử dụng)",,
WARD_OLD,ACTIVE_REASON,CLOB,*Lý do hoạt động*,,
WARD_OLD,DELETED,NUMBER(1),"Xóa mềm (0: Chưa xóa, 1: Đã xóa)",,
WARD_OLD,DELETED_REASON,CLOB,*Lý do xóa*,,
WARD_OLD,VERSION,NUMBER(MAX),*Phiên bản*,,
WARD_OLD,EFFECTIVE_START_DATE,TIMESTAMP(6),*Ngày bắt đầu*,,
WARD_OLD,EFFECTIVE_END_DATE,TIMESTAMP(6),*Ngày kết thúc*,,
WARD_OLD,OLD_ID,VARCHAR2(36 CHAR),*ID cũ*,,
WARD_OLD,CREATED_AT,TIMESTAMP(6),*Ngày tạo*,,
WARD_OLD,UPDATED_AT,TIMESTAMP(6),*Ngày cập nhật*,,
WARD_OLD,CREATED_BY_ID,VARCHAR2(36 CHAR),*Người tạo*,,FK suy luận → UBCK_STAFF.ID
WARD_OLD,CREATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người tạo*,,FK suy luận → UBCK_STAFF.ID
WARD_OLD,UPDATED_BY_ID,VARCHAR2(36 CHAR),*Người cập nhật*,,FK suy luận → UBCK_STAFF.ID
WARD_OLD,UPDATED_BY_NAME,VARCHAR2(255 CHAR),*Tên người cập nhật*,,FK suy luận → UBCK_STAFF.ID
WARD_OLD,STABLE_ID,VARCHAR2(36 CHAR),*ID bản ghi ổn định - không đổi qua các version*,,
WARD_OLD,DISTRICT_OLD_VERSION_ID,VARCHAR2(36 CHAR),*ID phiên bản của DistrictOld (lưu district_old.id hiện tại)*,,
WARD_OLD,WARD_NEW_VERSION_ID,VARCHAR2(36 CHAR),*ID phiên bản của WardNew(lưu ward_new.id hiện tại)*,,
WARD_OLD,IDX_WARD_OLD_DIST_ID,DISTRICT_OLD_ID,,,
WARD_OLD,IDX_WARD_OLD_WARD_NEW_ID,WARD_NEW_ID,,,
WARD_OLD,IDX_WARD_OLD_ACTIVE,"ACTIVE, DELETED",,,
WARD_OLD,IDX_WARD_OLD_OLD_ID,OLD_ID,,,
