Tên bảng,Tên trường,Kiểu dữ liệu,Mô tả,Khóa,Ghi chú (FK suy luận)
MENUS,IsActive,NUMBER(22),Trạng thái: 1 = Sử dụng; 0 = Không sử dụng,,
MENUS,SortOrder,NUMBER(22),Thứ tự sắp xếp,,
MENUS,ParentId,RAW(16),Mã ID menu cha. FK → MENUS.Id,FK,FK → MENUS.Id
MENUS,CreatedBy,NVARCHAR2(300),Người tạo,,
MENUS,DateCreated,DATE,Ngày tạo,,
MENUS,DateModified,DATE,Ngày sửa,,
MENUS,ModifyBy,NVARCHAR2(300),Người sửa,,
NATIONAL,Id,RAW(16),Mã ID quốc gia/quốc tịch. Mã hệ thống tự sinh (PK),PK,
NATIONAL,Name,NVARCHAR2(300),Tên quốc gia,,
NATIONAL,SName,NVARCHAR2(150),Mã quốc gia,,
NATIONAL,Description,NVARCHAR2(1500),Ghi chú,,
NATIONAL,Status,NUMBER(22),Trạng thái: 1 = Sử dụng; 0 = Không sử dụng,,
NATIONAL,IsDeleted,NUMBER(22),Trạng thái bản ghi: 0 = Không bị xóa; 1 = Bị xóa,,
NATIONAL,IsDataMigration,NUMBER(22),1 = Dữ liệu đổ từ hệ thống cũ; 0 = Dữ liệu mới,,
NATIONAL,CreatedBy,NVARCHAR2(300),Người tạo,,
NATIONAL,DateCreated,DATE,Ngày tạo,,
NATIONAL,DateModified,DATE,Ngày sửa,,
NATIONAL,ModifyBy,NVARCHAR2(300),Người sửa,,
PARAWARN,Id,RAW(16),Mã ID tham số cảnh báo (PK),PK,
PARAWARN,WarnName,NVARCHAR2(3000),Tên tham số cảnh báo,,
PARAWARN,WarnValue,NUMBER(22),Giá trị ngưỡng cảnh báo,,
PARAWARN,WarnType,NUMBER(22),Loại cảnh báo,,
PARAWARN,Description,NVARCHAR2(3000),Mô tả,,
PARAWARN,IsActive,NUMBER(22),Trạng thái: 1 = Sử dụng; 0 = Không sử dụng,,
PARAWARN,DateCreated,DATE,Ngày tạo,,
PARAWARN,DateModified,DATE,Ngày sửa,,
