Tên bảng,Tên trường,Mô tả,Khóa,Ghi chú (FK suy luận)
USERS,DepCenId,ID đối tượng gửi báo cáo là Trung tâm lưu ký. Dữ liệu được lấy từ trường ID của bảng DEPOSITORYCENTER,FK,FK → DEPOSITORYCENTER.Id
USERS,StockCenId,ID đối tượng gửi báo cáo là Sở giao dịch CK. Dữ liệu được lấy từ trường ID của bảng STOCKEXCHANGE,FK,FK → STOCKEXCHANGE.Id
USERS,InDiRepCenId,ID đối tượng gửi báo cáo là người đại diện CBTT. Dữ liệu được lấy từ trường ID của bảng INFODISCREPRES,FK,FK → INFODISCREPRES.Id
USERS,BranchsId,ID đối tượng gửi báo cáo là CN công ty QLQ NN tại VN. Dữ liệu được lấy từ trường ID của bảng BRANCHS,FK,FK → BRANCHS.Id
USERS,CountPassFail,Số lần đăng nhập sai mật khẩu,,
USERS,IsFirstLogin,"Tài khoản mới tạo, chưa đăng nhập lần nào trên hệ thống: 1: Tài khoản mới tạo, chưa đăng nhập lần nào 0: Tài khoản đã đăng nhập trên hệ thống",,
USERS,IdOld,ID hệ thống cũ,,
USERSMENUS,UsersId,ID người dùng. Dữ liệu lấy từ trường ID của bảng USERS,FK,FK → USERS.Id
USERSMENUS,MenusId,ID quyền hệ thống. Dữ liệu lấy từ trường ID của bảng MENUS,FK,FK → MENUS.Id
USERRPTO,UserId,ID người dùng. Dữ liệu lấy từ trường ID của bảng USERS.,FK,FK → USERS.Id
USERRPTO,TpOutId,ID biểu mẫu báo cáo đầu ra. Dữ liệu lấy từ trường ID của bảng RPTTPOUT.,FK,FK → RPTTPOUT.Id
REFRESHTOKEN,Id,ID bản ghi.,PK,
REFRESHTOKEN,ExpiresUtc,Ngày hết hạn,,
REFRESHTOKEN,Token,Mã token,,
REFRESHTOKEN,UsersId,ID người dùng. Dữ liệu lấy từ trường ID của bảng USERS.,FK,FK → USERS.Id
GROUPS,Id,ID bản ghi,PK,
GROUPS,OrgId,,,
GROUPS,GroupName,Nhóm người dùng,,
GROUPS,Status,Trạng thái: 0: Khóa 1: Hoạt động,,
GROUPS,Description,Mô tả,,
GROUPS,DateCreated,Ngày tạo,,
GROUPS,CreatedBy,Người tạo,,
GROUPS,DateModified,Ngày sửa,,
GROUPS,ModifyBy,Người sửa,,
GROUPS,IsDataMigration,Trạng thái đồng bộ dữ liệu,,
GROUPS,Deleted,Trạng thái xóa bản ghi: 1: Bị xóa 0: Không bị xóa,,
GROUPUSERS,GroupsId,ID nhóm người dùng. Dữ liệu lấy từ trường ID của bảng GROUPS.,FK,FK → GROUPS.Id
GROUPUSERS,UsersId,ID người dùng. Dữ liệu lấy từ trường ID của bảng USERS.,FK,FK → USERS.Id
GROUPROLES,RolesId,ID nhóm quyền. Dữ liệu lấy từ trường ID của bảng ROLES.,FK,FK → ROLES.Id
GROUPROLES,GroupsId,ID nhóm người dùng. Dữ liệu lấy từ trường ID của bảng GROUPS.,FK,FK → GROUPS.Id
ROLES,Id,ID bản ghi,PK,
ROLES,Deleted,Trạng thái xóa bản ghi: 1: Bị xóa 0: Không bị xóa,,
ROLES,DateCreated,Ngày tạo,,
ROLES,CreatedBy,Người tạo,,
ROLES,DateModified,Ngày sửa,,
ROLES,ModifyBy,Người sửa,,
ROLES,RoleName,Tên nhóm quyền,,
ROLES,Description,Mô tả,,
ROLES,Status,Trạng thái: 0: Khóa 1: Hoạt động,,
MENUS,Id,ID bản ghi,PK,
MENUS,Deleted,Trạng thái xóa bản ghi: 1: Bị xóa 0: Không bị xóa,,
MENUS,DateCreated,Ngày tạo,,
MENUS,CreatedBy,Người tạo,,
MENUS,DateModified,Ngày sửa,,
MENUS,ModifyBy,Người sửa,,
MENUS,Title,Tên quyền,,
MENUS,Icon,Icon,,
MENUS,Url,Điều hướng,,
MENUS,ParentId,Quyền cấp cha,,
MENUS,MenuType,Danh mục quyền: 1: Quyền chức năng 0: Menu,,
MENUS,SortOrder,Sắp xếp,,
MENUS,Access,Danh sách các quyền chức năng được truy cập,,
MENUS,IsActive,Trạng thái: 0: Không sử dụng 1: Sử dụng,,
CERTFCATE,Id,ID bản ghi,PK,
CERTFCATE,UserId,ID người dùng. Dữ liệu lấy từ trường ID của bảng USERS,FK,FK → USERS.Id
CERTFCATE,Keys,Keys,,
CERTFCATE,Serial,Số Serial,,
CERTFCATE,Subject,Subject,,
CERTFCATE,Issuer,Issuer,,
CERTFCATE,Type,Loại CTS: 0: Cá nhân 1: Tổ chức,,
CERTFCATE,Status,Trạng thái: 0: Từ chối 1: Chấp thuận,,
CERTFCATE,IsDataMigration,Là dữ liệu chuyển đổi,,
CERTFCATE,IdOld,ID hệ thống cũ,,
ERRORLOG,Id,Id bản ghi,PK,
ERRORLOG,UserId,ID người dùng. Dữ liệu lấy từ trường ID của bảng USERS,FK,FK → USERS.Id
ERRORLOG,ModuleName,Tên module chức năng,,
ERRORLOG,Action,Tên hàm,,
ERRORLOG,ActionForEndUser,Thao tác người dùng cuối,,
ERRORLOG,IsError,Là lỗi: 1: là lỗi 2: không là lỗi,,
ERRORLOG,Content,Nội dung lỗi,,
ERRORLOG,Exception,Chi tiết lỗi,,
ERRORLOG,DateCreated,Ngày lỗi,,
ERRORLOG,Id,Id bản ghi,PK,
ERRORLOG,UserId,ID người dùng. Dữ liệu lấy từ trường ID của bảng USERS,FK,FK → USERS.Id
ERRORLOG,ModuleName,Tên module chức năng,,
ERRORLOG,Action,Tên hàm,,
ERRORLOG,ActionForEndUser,Thao tác người dùng cuối,,
ERRORLOG,IsError,"Là lỗi:
1: là lỗi
2: không là lỗi",,
ERRORLOG,Content,Nội dung lỗi,,
ERRORLOG,Exception,Chi tiết lỗi,,
ERRORLOG,DateCreated,Ngày lỗi,,
USERSESSIONS,Id,ID bản ghi,PK,
USERSESSIONS,Status,Trạng thái: 1: Đang truy cập 0: Hủy phiên,,
USERSESSIONS,UserName,Account người dùng,,
USERSESSIONS,DestroyUserName,Tên người dùng,,
USERSESSIONS,ClientIp,IP truy cập,,
USERSESSIONS,DnsName,Tên miền truy cập,,
USERSESSIONS,DateLogined,Ngày,,
USERSESSIONS,Description,Mô tả,,
RPTTEMP,Id,ID bản ghi,PK,
RPTTEMP,Deleted,Trạng thái xóa bản ghi: 1: Bị xóa 0: Không bị xóa,,
RPTTEMP,DateCreated,Ngày tạo,,
RPTTEMP,CreatedBy,Người tạo,,
RPTTEMP,DateModified,Ngày sửa,,
RPTTEMP,ModifyBy,Người sửa,,
RPTTEMP,Name,Tên biểu mẫu,,
RPTTEMP,LegalBasis,Căn cứ pháp lý,,
RPTTEMP,Code,Mã biểu mẫu,,
RPTTEMP,ReportGroup,Nhóm báo cáo: 1: Báo cáo công ty QLQ 2: Báo cáo công ty chứng khoán 3: Báo cáo ngân hàng lưu ký 4: Báo cáo trung tâm lưu ký 5: Báo cáo sở giao dịch CK 6: Báo cáo người đại diện CBTT 7: Báo cáo CN công ty QLQ NN tại VN,,
RPTTEMP,IsNeedImport,Báo cáo có import: 1: Có import 0: Không import,,
RPTTEMP,SystemObjects,Đối tượng gửi báo cáo: 1: Công ty QLQ 2: Công ty chứng khoán 3: Ngân hàng lưu ký 4: Trung tâm lưu ký 5: Sở giao dịch CK 6: Người đại diện CBTT 7: CN công ty QLQ NN tại VN,,
RPTTEMP,Description,Mô tả,,
RPTTEMP,IsSelfMemberSetting,Báo cáo do cán bộ UB tự thiết lập kỳ: 1: Có cho phép cán bộ UB tự thiết lập kỳ 0: Không cho phêp cán bộ UB được thiết lập kỳ,,
RPTTEMP,FileData,File đính kèm,,
RPTTEMP,Status,Trạng thái: 0: Bản nháp 1: Đang sử dụng 2: Không sử dụng,,
RPTTEMP,Version,Version biểu mẫu,,
RPTTEMP,DateUsed,Ngày bắt đầu sử dụng,,
RPTTEMP,ReportTypeId,Loại báo cáo. Dữ liệu lấy từ trường ID của bảng REPORTTYPE,FK,FK → REPORTTYPE.Id
RPTTEMP,IsNeedPublic,Cho phép CBTT: 0: Không CBTT 1: Có CBTT,,
SHEET,Id,ID của bản ghi,PK,
SHEET,Deleted,Trạng thái xóa bản ghi: 1: Bị xóa 0: Không bị xóa,,
SHEET,DateCreated,Ngày tạo,,
SHEET,CreatedBy,Người tạo,,
SHEET,DateModified,Ngày sửa,,
SHEET,ModifyBy,Người sửa,,
SHEET,RptId,ID biểu mẫu báo cáo đầu vào. Dữ liệu lấy tại trường ID của bảng RPTTEMP.,,
SHEET,Code,Mã sheet,,
SHEET,Name,Tên sheet,,
SHEET,SheetIndex,Thứ tự sheet,,
SHEET,Status,Trạng thái: 0: Không sử dụng 1: Sử dụng,,
SHEET,Description,Mô tả,,
SHEET,MergeCells,Ô dữ liệu merge,,
SHEET,CellsMeta,Cấu hình của ô chỉ tiêu.,,
SHEET,DataLabel,Tên chỉ tiêu,,
SHEET,ColWidths,Chiều rộng của cột chỉ tiêu,,
SHEET,RowHeights,Chiều cao của dòng chỉ tiêu,,
RPTPERIOD,Id,ID bản ghi,PK,
RPTPERIOD,Deleted,Trạng thái xóa bản ghi: 1: Bị xóa 0: Không bị xóa,,
RPTPERIOD,DateCreated,Ngày tạo,,
RPTPERIOD,CreatedBy,Người tạo,,
RPTPERIOD,DateModified,Ngày sửa,,
RPTPERIOD,ModifyBy,Người sửa,,
RPTPERIOD,RptId,ID biểu mẫu báo cáo đầu vào. Dữ liệu lấy tại trường ID của bảng RPTTEMP.,,
