source_system,source_table,silver_entity,group,lld_file
SCMS,CTCK_NHAN_SU_CAO_CAP,Involved Party Alternative Identification,T2,attr_SCMS_CTCK_NHAN_SU_CAO_CAP_IP_Alt_Identification.csv
SCMS,CTCK_CO_DONG,Securities Company Shareholder,T2,attr_SCMS_CTCK_CO_DONG.csv
SCMS,CTCK_CO_DONG,Involved Party Postal Address,T2,attr_SCMS_CTCK_CO_DONG_IP_Postal_Address.csv
SCMS,CTCK_CO_DONG,Involved Party Alternative Identification,T2,attr_SCMS_CTCK_CO_DONG_IP_Alt_Identification.csv
SCMS,CT_KIEM_TOAN_VIEN,Audit Firm Practitioner,T2,attr_SCMS_CT_KIEM_TOAN_VIEN.csv
SCMS,CT_KIEM_TOAN_VIEN,Involved Party Alternative Identification,T2,attr_SCMS_CT_KIEM_TOAN_VIEN_IP_Alt_Identification.csv
SCMS,BM_SHEET,Report Template Sheet,pending,attr_SCMS_BM_SHEET.csv
SCMS,BM_BAO_CAO_HANG,Report Template Row,pending,attr_SCMS_BM_BAO_CAO_HANG.csv
SCMS,BM_BAO_CAO_COT,Report Template Column,pending,attr_SCMS_BM_BAO_CAO_COT.csv
SCMS,BM_BAO_CAO_DINH_KY,Report Submission Schedule,T2,attr_SCMS_BM_BAO_CAO_DINH_KY.csv
SCMS,DM_CHI_TIEU,Report Indicator,pending,attr_SCMS_DM_CHI_TIEU.csv
SCMS,BM_BAO_CAO_CT,Report Template Indicator,pending,attr_SCMS_BM_BAO_CAO_CT.csv
SCMS,BM_BAO_CAO_DINH_KY_DON_VI,Report Submission Obligation,T3,attr_SCMS_BM_BAO_CAO_DINH_KY_DON_VI.csv
SCMS,BC_THANH_VIEN,Member Periodic Report,T3,attr_SCMS_BC_THANH_VIEN.csv
SCMS,BC_VI_PHAM,Securities Company Report Violation,T3,attr_SCMS_BC_VI_PHAM.csv
SCMS,CTCK_XU_LY_HANH_CHINH,Securities Company Administrative Penalty,T3,attr_SCMS_CTCK_XU_LY_HANH_CHINH.csv
SCMS,CBTT_BAO_CAO,Disclosure Report Submission,T3,attr_SCMS_CBTT_BAO_CAO.csv
SCMS,CBTT_CHAO_BAN_CHUNG_KHOAN,Disclosure Securities Offering,T3,attr_SCMS_CBTT_CHAO_BAN_CHUNG_KHOAN.csv
SCMS,CBTT_CO_DONG,Disclosure Shareholder Change,T3,attr_SCMS_CBTT_CO_DONG.csv
SCMS,BC_BAO_CAO_GT,Member Report Indicator Value,T4,attr_SCMS_BC_BAO_CAO_GT.csv
SCMS,CTCK_CD_CHUYEN_NHUONG,Securities Company Shareholder Transfer,T4,attr_SCMS_CTCK_CD_CHUYEN_NHUONG.csv
SCMS,CTCK_CD_DAI_DIEN,Securities Company Shareholder Representative,T4,attr_SCMS_CTCK_CD_DAI_DIEN.csv
SCMS,CTCK_CD_DAI_DIEN,Involved Party Alternative Identification,T4,attr_SCMS_CTCK_CD_DAI_DIEN_IP_Alt_Identification.csv
SCMS,CTCK_CD_MOI_QUAN_HE,Securities Company Shareholder Related Party,T4,attr_SCMS_CTCK_CD_MOI_QUAN_HE.csv
SCMS,CTCK_CD_MOI_QUAN_HE,Involved Party Alternative Identification,T4,attr_SCMS_CTCK_CD_MOI_QUAN_HE_IP_Alt_Identification.csv

FIMS,BANKMONI,Involved Party Postal Address,T1,attr_FIMS_BANKMONI_IP_Postal_Address.csv
FIMS,BANKMONI,Involved Party Electronic Address,T1,attr_FIMS_BANKMONI_IP_Electronic_Address.csv
FIMS,BRANCHS,Involved Party Postal Address,T1,attr_FIMS_BRANCHS_IP_Postal_Address.csv
FIMS,BRANCHS,Involved Party Electronic Address,T1,attr_FIMS_BRANCHS_IP_Electronic_Address.csv
FIMS,DEPOSITORYCENTER,Involved Party Postal Address,T1,attr_FIMS_DEPOSITORYCENTER_IP_Postal_Address.csv
