source_system,table_name,source_system.table_name,technical_table_type,filter,description
FIMS,RPTVALUES,FIMS.RPTVALUES,,,"bảng lưu giá trị của báo cáo. Mỗi năm, tự động sinh"
FIMS,RPTPROCESS,FIMS.RPTPROCESS,,,lưu danh sách lịch sử xử lý báo cáo
FIMS,STOCKEXCHANGE,FIMS.STOCKEXCHANGE,,,Lưu danh sách đối tượng gửi báo cáo là Sở giao
FIMS,DEPOSITORYCENTER,FIMS.DEPOSITORYCENTER,,,Lưu danh sách đối tượng gửi báo cáo là Trung
FIMS,FUNDCOMPANY,FIMS.FUNDCOMPANY,,,Lưu danh sách đối tượng gửi báo cáo là Công ty
FIMS,FUNDCOMBUSINES,FIMS.FUNDCOMBUSINES,,,Lưu danh sách nghiệp vụ kinh doanh của công ty
FIMS,FUNDCOMTYPE,FIMS.FUNDCOMTYPE,,,Lưu danh sách loại hình công ty của công ty QLQ
FIMS,SECURITIESCOMPANY,FIMS.SECURITIESCOMPANY,,,Lưu danh sách đối tượng gửi báo cáo là Công
FIMS,SECCOMBUSINES,FIMS.SECCOMBUSINES,,,Lưu danh sách nghiệp vụ kinh doanh của công ty
FIMS,SECCOMTYPE,FIMS.SECCOMTYPE,,,lưu danh sách loại hình doanh nghiệp của công ty
FIMS,BANKMONI,FIMS.BANKMONI,,,Lưu danh sách đối tượng gửi báo cáo là Ngân hàng lưu
FIMS,BRANCHS,FIMS.BRANCHS,,,Lưu danh sách đối tượng gửi báo cáo là CN công ty QLQ
FIMS,BRANCHSBUSINES,FIMS.BRANCHSBUSINES,,,Lưu danh sách nghiệp vụ kinh doanh của CN công
FIMS,INFODISCREPRES,FIMS.INFODISCREPRES,,,Lưu danh sách đối tượng gửi báo cáo là người
FIMS,INDIREBUSINESS,FIMS.INDIREBUSINESS,,,Lưu danh sách nghiệp vụ kinh doanh của người
FIMS,PARAWARN,FIMS.PARAWARN,,,Lưu danh sách tham số cảnh báo
FIMS,CDTWARN,FIMS.CDTWARN,,,Lưu danh sách điều kiện cảnh báo
FIMS,VIOLT,FIMS.VIOLT,,,Lưu danh sách vi phạm
FIMS,AUTHOANNOUNCE,FIMS.AUTHOANNOUNCE,,,Lưu danh sách ủy quyền CBTT.
FIMS,AUTHOANNOUNCEHIS,FIMS.AUTHOANNOUNCEHIS,,,Lưu danh sách lịch sử ủy quyền CBTT.
FIMS,ANNOUNCEINVES,FIMS.ANNOUNCEINVES,,,lưu danh sách NĐT NN ủy quyền CBTT
FIMS,ANNOUNCEINVESHIS,FIMS.ANNOUNCEINVESHIS,,,Lưu lịch sử danh sách NĐT NN ủy quyền CBTT
FIMS,ANNOUNCE,FIMS.ANNOUNCE,,,Lưu danh sách các tin CB của thành viên thị trường
FIMS,DOCUMENT,FIMS.DOCUMENT,,,Lưu danh sách tài liệu hệ thống.
FIMS,EMAILSENTSYSTEM,FIMS.EMAILSENTSYSTEM,,,Lưu danh sách trao đổi thông tin
FIMS,SYSEMAIL,FIMS.SYSEMAIL,,,lưu danh sách trao đổi thông tin gửi qua mail
FIMS,SYSTEMINTEGRATIONCONFIG,FIMS.SYSTEMINTEGRATIONCONFIG,,,Lưu danh sách cấu hình kết nối hệ
FIMS,SYSTEMINTEGRATIONDATA,FIMS.SYSTEMINTEGRATIONDATA,,,Lưu dữ liệu kết nối MSS
FMS,AGENCIES,FMS.AGENCIES,,,Danh sách đại lý Quỹ đầu tư
FMS,AGENCIESBRA,FMS.AGENCIESBRA,,,Danh sách CN/PGD của đại lý Quỹ đầu tư
FMS,AGENCYTYPE,FMS.AGENCYTYPE,,,Danh sách loại đại lý
FMS,AGENFUNDS,FMS.AGENFUNDS,,,Bảng trung gian Map đại lý và quỹ đầu tư
FMS,BANKMONI,FMS.BANKMONI,,,Danh sách ngân hàng lưu ký giám sát (LKGS)
FMS,BRANCHES,FMS.BRANCHES,,,Danh sách CN/VPĐD công ty QLQ trong nước
FMS,BRCHBUP,FMS.BRCHBUP,,,Lịch sử chi tiết CN/VPĐD công ty QLQ trong nước
FMS,BUSINESS,FMS.BUSINESS,,,Danh mục ngành nghề kinh doanh
FMS,CALENDAR,FMS.CALENDAR,,,Danh sách lịch làm việc và lịch nghỉ
FMS,CERTFCATE,FMS.CERTFCATE,,,Danh sách chứng thư số của thành viên thị trường
FMS,DTSCBMN,FMS.DTSCBMN,,,Phân quyền dữ liệu ngân hàng LKGS cho chuyên viên QLQ
FMS,DTSCFND,FMS.DTSCFND,,,Phân quyền dữ liệu QĐT cho chuyên viên vụ QLQ
FMS,DTSCFR,FMS.DTSCFR,,,Phân quyền dữ liệu VPĐD/CN công ty QLQ NN cho chuyên viên
FMS,DTSCOPE,FMS.DTSCOPE,,,Phân quyền dữ liệu – phạm vi
FMS,FGBRBUP,FMS.FGBRBUP,,,Lịch sử chi tiết VPĐD/CN công ty QLQ NN tại VN
FMS,FGBUSINESS,FMS.FGBUSINESS,,,Ngành nghề kinh doanh VPĐD/CN công ty QLQ NN tại VN
FMS,FNDBUP,FMS.FNDBUP,,,Bản ghi chi tiết lịch sử quỹ đầu tư
FMS,FNDSBMN,FMS.FNDSBMN,,,Bảng trung gian FUNDS & BANKMONI
FMS,FORBRCH,FMS.FORBRCH,,,Danh sách VPĐD/CN công ty QLQ NN tại VN
FMS,FUNDHISTORY,FMS.FUNDHISTORY,,,Lịch sử quỹ đầu tư
FMS,FUNDS,FMS.FUNDS,,,Danh sách quỹ đầu tư chứng khoán
FMS,INVES,FMS.INVES,,,Danh sách nhà đầu tư ủy thác
FMS,INVESACC,FMS.INVESACC,,,Danh sách tài khoản nhà đầu tư ủy thác
FMS,JOBTYPE,FMS.JOBTYPE,,,Danh sách loại chức vụ
FMS,LOCATION,FMS.LOCATION,,,Danh sách tỉnh/thành phố
FMS,MBCHANGE,FMS.MBCHANGE,,,Lịch sử thay đổi vốn góp nhà đầu tư quỹ
FMS,MBFUND,FMS.MBFUND,,,Danh sách nhà đầu tư quỹ
FMS,MENUS,FMS.MENUS,,,Danh mục quyền chức năng
FMS,NATIONAL,FMS.NATIONAL,,,Danh sách quốc gia/quốc tịch
FMS,NOTIFICATION,FMS.NOTIFICATION,,,Thông báo hệ thống
FMS,PARAWARN,FMS.PARAWARN,,,Danh sách tham số cảnh báo
FMS,PARVALUE,FMS.PARVALUE,,,Danh sách mệnh giá cổ phần
FMS,RANK,FMS.RANK,,,Bảng xếp hạng theo kỳ đánh giá
FMS,RATINGPD,FMS.RATINGPD,,,Danh sách kỳ đánh giá xếp loại
FMS,REFRESHTOKEN,FMS.REFRESHTOKEN,,,Phiên làm việc (Token đăng nhập)
FMS,RELATION,FMS.RELATION,,,Mối quan hệ cổ đông
FMS,REPRESENT,FMS.REPRESENT,,,Danh sách ban đại diện/HĐQT Quỹ đầu tư
FMS,RNKFACTHISTORY,FMS.RNKFACTHISTORY,,,Lưu kết quả các lần lưu bảng tổng hợp đánh giá
FMS,RNKFACTOR,FMS.RNKFACTOR,,,Bảng chấm điểm đánh giá xếp loại (nhân tố cha/con)
FMS,RNKGRFTOR,FMS.RNKGRFTOR,,,Bảng trung gian Ranks và RNKFACTOR
FMS,ROLES,FMS.ROLES,,,Nhóm quyền chức năng
FMS,ROLESMENUS,FMS.ROLESMENUS,,,Phân quyền menu theo nhóm quyền
FMS,RPTHTORY,FMS.RPTHTORY,,,Lịch sử thay đổi báo cáo đầu vào
FMS,RPTMBHS,FMS.RPTMBHS,,,Lịch sử báo cáo thành viên
FMS,RPTMEMBER,FMS.RPTMEMBER,,,Báo cáo định kỳ của thành viên thị trường
FMS,RPTPDSHT,FMS.RPTPDSHT,,,Bảng trung gian SHEETS và RPTPERIOD
FMS,RPTPERIOD,FMS.RPTPERIOD,,,Kỳ báo cáo
FMS,RPTPROCESS,FMS.RPTPROCESS,,,Lịch sử xử lý báo cáo thành viên
FMS,RPTTEMP,FMS.RPTTEMP,,,Danh sách biểu mẫu báo cáo đầu vào
FMS,RPTTPOUT,FMS.RPTTPOUT,,,Danh sách biểu mẫu báo cáo đầu ra
FMS,RPTVALUES,FMS.RPTVALUES,,,Báo cáo giá trị – lưu dữ liệu import
FMS,SECBUP,FMS.SECBUP,,,Lịch sử chi tiết công ty QLQ (2 bản ghi trước/sau)
FMS,SECBUSINES,FMS.SECBUSINES,,,Ngành nghề kinh doanh của công ty QLQ
FMS,SECHISTORY,FMS.SECHISTORY,,,Lịch sử thông tin công ty QLQ
FMS,SECURITIES,FMS.SECURITIES,,,Danh sách công ty QLQ trong nước
FMS,SECURITIESREPORT,FMS.SECURITIESREPORT,,,Thiết lập hiển thị báo cáo công ty QLQ
FMS,SELFSETPD,FMS.SELFSETPD,,,Thành viên tự thiết lập gửi báo cáo
FMS,SHEET,FMS.SHEET,,,Danh sách sheet báo cáo đầu vào
FMS,SHEETOUT,FMS.SHEETOUT,,,Danh sách sheet báo cáo đầu ra
FMS,STAKE,FMS.STAKE,,,Danh sách các bên liên quan
FMS,STATUS,FMS.STATUS,,,Danh sách trạng thái hoạt động
FMS,STFFGBRCH,FMS.STFFGBRCH,,,Danh sách nhân sự VPĐD/CN công ty QLQ NN
FMS,STOCKHOLDERTYPE,FMS.STOCKHOLDERTYPE,,,Danh sách loại hình NĐT/cổ đông
FMS,STTRGTOUT,FMS.STTRGTOUT,,,Cấu hình lấy dữ liệu báo cáo đầu ra
FMS,SYSEMAIL,FMS.SYSEMAIL,,,Nội dung trao đổi thông tin
FMS,SYSVAR,FMS.SYSVAR,,,Danh sách tham số hệ thống
FMS,TABSINFO,FMS.TABSINFO,,,Thiết lập hiển thị dữ liệu
FMS,TLPRHISTORY,FMS.TLPRHISTORY,,,Lịch sử nhân sự
FMS,TLPROBUP,FMS.TLPROBUP,,,Chi tiết lịch sử nhân sự (2 bản ghi trước/sau)
FMS,TLProfiles,FMS.TLProfiles,,,Danh sách nhân sự công ty QLQ
FMS,TOTSTTG,FMS.TOTSTTG,,,Bảng trung gian Cấu hình dữ liệu đầu ra với ô dữ liệu
FMS,TPOUTHTORY,FMS.TPOUTHTORY,,,Lịch sử thay đổi báo cáo đầu ra
FMS,TRANSFERMBF,FMS.TRANSFERMBF,,,Danh sách giao dịch chứng chỉ quỹ
FMS,TRSFERINDER,FMS.TRSFERINDER,,,Danh sách giao dịch chuyển nhượng cổ phần
FMS,USERRPTO,FMS.USERRPTO,,,Phân quyền người dùng UBCK với báo cáo đầu ra
FMS,USERS,FMS.USERS,,,Quản lý người dùng hệ thống
FMS,USERSESSIONS,FMS.USERSESSIONS,,,Quản lý tài khoản đang truy cập
FMS,USERSMENUS,FMS.USERSMENUS,,,Phân quyền chức năng cho người dùng
FMS,VIOLT,FMS.VIOLT,,,Danh sách vi phạm
GSGD,investor_account,GSGD.investor_account,,,Thông tin tài khoản nhà đầu tư
GSGD,investor_account_history,GSGD.investor_account_history,,,Lịch sử thay đổi tài khoản
GSGD,account_financial_service,GSGD.account_financial_service,,,Dịch vụ tài chính của tài khoản
GSGD,account_authorization,GSGD.account_authorization,,,Thông tin ủy quyền tài khoản
GSGD,account_group,GSGD.account_group,,,Nhóm tài khoản
GSGD,account_group_member,GSGD.account_group_member,,,Thành viên nhóm tài khoản
GSGD,account_group_history,GSGD.account_group_history,,,Lịch sử thay đổi nhóm tài khoản
GSGD,account_relationship,GSGD.account_relationship,,,Mối quan hệ giữa các tài khoản
GSGD,company_event,GSGD.company_event,,,Sự kiện tổ chức niêm yết
GSGD,company_event_history,GSGD.company_event_history,,,Lịch sử thay đổi sự kiện tổ chức niêm yết
GSGD,securities_group,GSGD.securities_group,,,Nhóm chứng khoán
GSGD,securities_group_member,GSGD.securities_group_member,,,Thành viên nhóm chứng khoán
GSGD,securities_group_history,GSGD.securities_group_history,,,Lịch sử thay đổi nhóm chứng khoán
GSGD,case_file,GSGD.case_file,,,Vụ việc
GSGD,case_attach_file,GSGD.case_attach_file,,,File đính kèm vụ việc
GSGD,case_file_workflow,GSGD.case_file_workflow,,,Quy trình xử lý vụ việc
GSGD,case_approval_step,GSGD.case_approval_step,,,Tiến trình gửi duyệt vụ việc
GSGD,suspicious_account,GSGD.suspicious_account,,,Tài khoản nghi vấn
GSGD,suspicious_account_group,GSGD.suspicious_account_group,,,Nhóm tài khoản nghi vấn
GSGD,analysis_report,GSGD.analysis_report,,,Báo cáo phân tích
GSGD,analysis_attribute_define,GSGD.analysis_attribute_define,,,Định nghĩa tiêu chí/công thức phân tích vụ việc
GSGD,analysis_attribute_value,GSGD.analysis_attribute_value,,,Giá trị tiêu chí phân tích theo từng vụ việc/quy trình
GSGD,analysis_define_report_template,GSGD.analysis_define_report_template,,,Tham số cấu hình các biểu mẫu báo cáo
GSGD,analysis_execution_log,GSGD.analysis_execution_log,,,Thông tin trạng thái phân tích quy trình của từng biểu mẫu
GSGD,analysis_suspicious_account_code,GSGD.analysis_suspicious_account_code,,,Thông tin tài khoản nghi vấn của từng biểu mẫu
GSGD,analysis_suspicious_account,GSGD.analysis_suspicious_account,,,Phân tích tài khoản nghi vấn
GSGD,analysis_account_relationship,GSGD.analysis_account_relationship,,,Phân tích mối quan hệ giữa các tài khoản nghi vấn
GSGD,analysis_account_group,GSGD.analysis_account_group,,,Phân tích nhóm tài khoản
GSGD,analysis_account_group_member,GSGD.analysis_account_group_member,,,Lịch sử thay đổi nhóm tài khoản
GSGD,abnormal_report,GSGD.abnormal_report,,,Báo cáo bất thường
GSGD,abnormal_report_file,GSGD.abnormal_report_file,,,File đính kèm báo cáo bất thường
GSGD,compliance_report_template,GSGD.compliance_report_template,,,Danh sách các loại báo cáo tuân thủ
GSGD,compliance_report_config,GSGD.compliance_report_config,,,Định nghĩa cấu trúc bảng cho từng loại báo cáo tuân thủ
GSGD,compliance_report_master,GSGD.compliance_report_master,,,Thông tin tổng hợp báo cáo tuân thủ theo kỳ khác nhau
GSGD,compliance_report_data,GSGD.compliance_report_data,,,Dữ liệu chi tiết báo cáo tổng hợp
GSGD,system_user,GSGD.system_user,,,Người dùng hệ thống
GSGD,user_group,GSGD.user_group,,,Nhóm người dùng
GSGD,user_group_member,GSGD.user_group_member,,,Thành viên nhóm người dùng
GSGD,system_permission,GSGD.system_permission,,,Quyền hệ thống
GSGD,report_template,GSGD.report_template,,,Mẫu báo cáo
GSGD,report_template_workflow,GSGD.report_template_workflow,,,Cấu hình biểu mẫu cho quy trình phân tích vụ việc
GSGD,system_config,GSGD.system_config,,,Cấu hình hệ thống
GSGD,system_parameter,GSGD.system_parameter,,,Tham số hệ thống
GSGD,audit_log,GSGD.audit_log,,,Nhật ký hệ thống
GSGD,user_table_config,GSGD.user_table_config,,,Cấu hình hiển thị bảng theo user
GSGD,category_config,GSGD.category_config,,,Cấu hình các danh mục dùng chung
GSGD,category_item,GSGD.category_item,,,"Cấu hình ITEM trong danh mục dùng chung(phục vụ cấu hình động các dropdown, listbox, …)"
NHNCK,ActionLogs,NHNCK.ActionLogs,,,Nhật ký hoạt động của người dùng trên hệ thống
NHNCK,ApplicationDocuments,NHNCK.ApplicationDocuments,,,Tài liệu đính kèm trong hồ sơ
NHNCK,ApplicationFees,NHNCK.ApplicationFees,,,Phí thanh toán liên quan đến hồ sơ
NHNCK,Applications,NHNCK.Applications,,,Hồ sơ đăng ký chứng chỉ hành nghề
NHNCK,ApplicationSources,NHNCK.ApplicationSources,,,Hình thức nộp hồ sơ
NHNCK,ApplicationSpecializations,NHNCK.ApplicationSpecializations,,,Chuyên môn liên quan đến hồ sơ
NHNCK,ApplicationStatuses,NHNCK.ApplicationStatuses,,,Định nghĩa các trạng thái của hồ sơ
NHNCK,CertificateDepartments,NHNCK.CertificateDepartments,,,Liên kết phòng ban với loại chứng chỉ
NHNCK,CertificateDocuments,NHNCK.CertificateDocuments,,,Tài liệu liên quan của loại chứng chỉ
NHNCK,CertificateNumberTemplates,NHNCK.CertificateNumberTemplates,,,Mã tài liệu kết hợp chứng chỉ từ một cửa điện tử
NHNCK,CertificateRecordGroupMembers,NHNCK.CertificateRecordGroupMembers,,,Thành viên trong nhóm chứng chỉ hành nghề
NHNCK,CertificateRecordGroups,NHNCK.CertificateRecordGroups,,,Nhóm chứng chỉ hành nghề
NHNCK,CertificateRecordLogs,NHNCK.CertificateRecordLogs,,,Nhật ký chứng chỉ hành nghề
NHNCK,CertificateRecords,NHNCK.CertificateRecords,,,Chứng chỉ hành nghề được cấp
NHNCK,CertificateRecordStatusHistories,NHNCK.CertificateRecordStatusHistories,,,Lịch sử trạng thái chứng chỉ hành nghề
NHNCK,Certificates,NHNCK.Certificates,,,Danh mục các loại chứng chỉ hành nghề
NHNCK,CertificateSpecializations,NHNCK.CertificateSpecializations,,,Chuyên môn liên quan loại chứng chỉ
NHNCK,Decisions,NHNCK.Decisions,,,Danh mục các quyết định hành chính
NHNCK,DepartmentAccess,NHNCK.DepartmentAccess,,,Quản lý quyền khai thác giữa các phòng ban
NHNCK,DigitalCertificates,NHNCK.DigitalCertificates,,,Chứng thư số
NHNCK,DigitalCertificateUsers,NHNCK.DigitalCertificateUsers,,,Tài khoản được sử dụng chứng thư số
NHNCK,Documents,NHNCK.Documents,,,Danh mục tài liệu liên quan đến hồ sơ hoặc chứng chỉ
NHNCK,EducationLevels,NHNCK.EducationLevels,,,Danh mục trình độ học vấn
NHNCK,ExamDetails,NHNCK.ExamDetails,,,Kết quả các kỳ thi sát hạch
NHNCK,ExamSessionFees,NHNCK.ExamSessionFees,,,Phí thi sát hạch
NHNCK,ExamSessions,NHNCK.ExamSessions,,,Danh mục các đợt thi sát hạch
NHNCK,IdentityInfoC06s,NHNCK.IdentityInfoC06s,,,Lịch sử kiểm tra xác thực với C06
