source_system,staging_table,ods_table,column_name,data_type,description,pk/fk
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,von_dieu_le,,Vốn điều lệ,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,nganh_nghe_kd,,Ngành nghề kinh doanh,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,so_giay_phep,,Số giấy phép thành lập,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,ngay_cap,,Ngày cấp,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,co_quan_cap,,Cơ quan cấp giấy phép thành lập,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,so_quyet_dinh,,Số quyết định thành lập,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,ngay_ban_hanh,,Ngày ban hành quyết định,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,co_quan_ban_hanh,,Cơ quan ban hành quyết định thành lập,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,don_vi_chu_quan,,Đơn vị chủ quan/ đơn vị quản lý trực thuộc,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,ngay_bd_hdkd,,Ngày bắt đầu hoạt động kinh doanh,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,ten_nguoi_dai_dien_kd,,Tên người đại diện kinh doanh,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,so_cmt,,Số CMT/ hộ chiếu người đại diện theo pháp luật/ chủ doanh nghiệp tư nhân,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,so_dien_thoai,,Số ĐT người đại diện theo pháp luật/ chủ doanh nghiệp tư nhân,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,ten_giam_doc,,Tên giám đốc/ tổng giám đốc,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,so_dien_thoai_gd,,Số điện thoại giám đốc/ tổng giám đốc,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,trang_thai_hoat_dong,,"Trạng thái hoạt động:
00, 04: Đang hoạt động; 01: Tổ chức ngừng hoạt động và đã hoàn thành thủ tục chấm dứt hiệu lực mã số thuế; 03: Tổ chức ngừng hoạt động nhưng chưa hoàn thành thủ tục chấm dứt hiệu lực mã số thuế; 05: Ngừng kinh doanh có thời hạn; 06: Không hoạt động tại địa chỉ đã đăng ký",
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,ly_do_ngung_hoat_dong,,Lý do ngừng hoạt động,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,loai_ngung_hoat_dong,,"Loạt ngừng hoạt động:
1. Giải thể ; 2. Phá sản; 3. Chuyển đổi loại hình doanh nghiệp, tổ chức sắp xếp loại doanh nghiệp; 4. Cho làm thủ tục giải thể; 5. Cho làm thủ tục phá sản; 6. Cho làm thủ tục tổ chức lại tổ chức kinh tế; 7. Bị thu hồi giấy phép hoạt động; 8. Đóng theo đơn vị chủ quản (đối với MST 13 số); 9. Khác",
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,co_quan_quan_ly_truc_tiep,,Cơ quan quản lý trực tiếp,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,ma_cqql_qlt,,Mã cơ quan quản lý thuế,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,loaitien_von_dl_vn,,Loại tiền vốn điều lệ,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,sotien_von_dl_nn,,Vốn điều lệ nước ngoài,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,loaitien_von_dl_nn,,Loại tiền vốn điều lệ nước ngoài,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,dvcq_vn_diachi,,Địa chỉ đơn vị chủ quản,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,mota_diachi_kd,,Mô tả địa chỉ -  kinh doanh,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,ma_tinh_kd,,Mã tỉnh - kinh doanh,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,ma_huyen_kd,,Mã huyện - kinh doanh,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,ma_xa_kd,,Mã xã - kinh doanh,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,dien_thoai_kd,,Điện thoại - kinh doanh,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,email_kd,,Email - kinh doanh,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,fax_kd,,Fax - kinh doanh,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,tam_nghi_tu_ngay,,Tạm nghỉ/Từ ngày,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,tam_nghi_den_ngay,,Tạm nghỉ/Đến ngày,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,tam_nghi_ly_do,,Lý do tạm nghỉ,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,tam_nghi_so_tbao,,Số thông báo - tạm nghỉ,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,tam_nghi_ngay_tb_nnt,,Ngày thông báo  - tạm nghỉ,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,ngung_hd_ngay,,Ngày ngừng hoạt động,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,ngung_hd_ly_do,,Lý do ngừng hoạt động,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,ngung_hd_ghi_chu,,Ghi chú ngừng hoạt động,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,ngung_hd_so_tbao,,Số thông báo ngừng hoạt động,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,ten_trang_thai,,Tên trạng thái người nộp thuế,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,ma_nganh,,Mã ngành nghề kinh doanh,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,ten_tinh_kd,,Tên tỉnh - Kinh doanh,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,ten_huyen_kd,,Tên huyện - KD,
DCST,stg_dcst_thong_tin_dk_thue,ods_dcst_thong_tin_dk_thue,ten_xa,,Tên xã - KD,
DCST,stg_dcst_ubck_xu_phat,ods_dcst_ubck_xu_phat,id,,,PK
DCST,stg_dcst_ubck_xu_phat,ods_dcst_ubck_xu_phat,so_qd_gd,,Số quyết định xử phạt,
DCST,stg_dcst_ubck_xu_phat,ods_dcst_ubck_xu_phat,ngay_qd,,Ngày quyết định xử phạt,
DCST,stg_dcst_ubck_xu_phat,ods_dcst_ubck_xu_phat,ten,,Tên đối tượng bị xử phạt,
DCST,stg_dcst_ubck_xu_phat,ods_dcst_ubck_xu_phat,dia_chi,,Địa chỉ trụ sở chính,
DCST,stg_dcst_ubck_xu_phat,ods_dcst_ubck_xu_phat,lv_hd,,Lĩnh vực hoạt động,
DCST,stg_dcst_ubck_xu_phat,ods_dcst_ubck_xu_phat,mst,,Mã số thuế,
DCST,stg_dcst_ubck_xu_phat,ods_dcst_ubck_xu_phat,ten_ndd,,Tên người đại diện pháp luật,
DCST,stg_dcst_ubck_xu_phat,ods_dcst_ubck_xu_phat,hanh_vi,,Hành vi vi phạm,
DCST,stg_dcst_ubck_xu_phat,ods_dcst_ubck_xu_phat,so_tien,,Số tiền xử phạt,
DCST,stg_dcst_ubck_xu_phat,ods_dcst_ubck_xu_phat,hinh_thuc,,Hình thức xử phạt bổ sung,
DCST,stg_dcst_ubck_xu_phat,ods_dcst_ubck_xu_phat,bien_phap,,Biện pháp khắc phục hậu quả,
DCST,stg_dcst_ubck_xu_phat,ods_dcst_ubck_xu_phat,goi_tin_id,,ID gói tin,FK
DCST,stg_dcst_ubck_xu_phat,ods_dcst_ubck_xu_phat,ngay_cap,,Ngày cấp,
DCST,stg_dcst_ubck_xu_phat,ods_dcst_ubck_xu_phat,noi_cap,,Nơi cấp,
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,id,,,PK
DCST,stg_dcst_tct_bao_cao,ods_dcst_tct_bao_cao,ma_dvu,,Mã dịch vụ,
