Table Desc;Table Name;Logical Field Name;Physical Field Name;Kiểu dữ liệu;Length;Is_nullable;Ý nghĩa
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Settlement Price;SETTLEMENTPRICE;character varying;255;YES;Giá tham chiếu cho ngày giao dịch tiếp theo của HĐTL
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Maturity Month Year;MATURITYMONTHYEAR;character varying;255;YES;Năm tháng đáo hạn
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Listing Date;LISTINGDATE;character varying;255;YES;Ngày niêm yết sản phẩm phái sinh
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Contract Multiplier;CONTRACTMULTIPLIER;character varying;255;YES;Hệ số nhân
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Put Or Call;PUTORCALL;character varying;255;YES;Loại quyền của CK phái sinh: P/C
JAD_STOCKINFOR: Thông tin mã chứng khoán;JAD_STOCKINFOR;Exercise Style;EXERCISESTYLE;character varying;255;YES;Kiểu thực hiện của CK phái sinh: A/E/B/Z
JAD_TRANSLOG: Chi tiết khớp lệnh theo mã chứng khoán;JAD_TRANSLOG;ID;ID;character varying;255;NO;ID unique
JAD_TRANSLOG: Chi tiết khớp lệnh theo mã chứng khoán;JAD_TRANSLOG;Sequence Message;SEQUENCEMSG;character varying;255;YES;Sequence tín hiệu của sở
JAD_TRANSLOG: Chi tiết khớp lệnh theo mã chứng khoán;JAD_TRANSLOG;Trading Date;TRADINGDATE;character varying;255;YES;Ngày giao dịch
JAD_TRANSLOG: Chi tiết khớp lệnh theo mã chứng khoán;JAD_TRANSLOG;Symbol;SYMBOL;character varying;255;YES;Mã chứng khoán
JAD_TRANSLOG: Chi tiết khớp lệnh theo mã chứng khoán;JAD_TRANSLOG;Formatted Time;FORMATTEDTIME;character varying;255;YES;Thời gian khớp
JAD_TRANSLOG: Chi tiết khớp lệnh theo mã chứng khoán;JAD_TRANSLOG;Last Color;LASTCOLOR;character varying;255;YES;Chiều mua/bán chủ động
JAD_TRANSLOG: Chi tiết khớp lệnh theo mã chứng khoán;JAD_TRANSLOG;Formatted Match Price;FORMATTEDMATCHPRICE;double precision;;NO;Giá trị khớp
JAD_TRANSLOG: Chi tiết khớp lệnh theo mã chứng khoán;JAD_TRANSLOG;Change Color;CHANGECOLOR;character varying;255;YES;Indicator tăng/giảm
JAD_TRANSLOG: Chi tiết khớp lệnh theo mã chứng khoán;JAD_TRANSLOG;Formatted Volume;FORMATTEDVOL;bigint;;NO;Khối lượng khớp
JAD_TRANSLOG: Chi tiết khớp lệnh theo mã chứng khoán;JAD_TRANSLOG;Formatted Accrual Volume;FORMATTEDACCVOL;bigint;;NO;Tổng khối lượng khớp lũy kế của mã trong ngày (chỉ tính lô chẵn)
JAD_TRANSLOG: Chi tiết khớp lệnh theo mã chứng khoán;JAD_TRANSLOG;Formatted Accrual Value;FORMATTEDACCVAL;double precision;;NO;Tổng giá trị khớp lũy kế của mã trong ngày (chỉ tính lô chẵn)
JAD_TRANSLOG: Chi tiết khớp lệnh theo mã chứng khoán;JAD_TRANSLOG;Total Buy Volume;TOTALBUYVOL;bigint;;NO;Tổng khối lượng mua chủ động
JAD_TRANSLOG: Chi tiết khớp lệnh theo mã chứng khoán;JAD_TRANSLOG;Total Sell Volume;TOTALSELLVOL;bigint;;NO;Tổng khối lượng bán chủ động
JAD_TRANSLOG: Chi tiết khớp lệnh theo mã chứng khoán;JAD_TRANSLOG;Board ID;BOARDID;character varying;255;YES;Board của mã, bảng này mặc định = G1
JAD_CSIDXINFOR: Thông tin mã chứng khoán thuộc rổ chỉ số;JAD_CSIDXINFOR;ID;ID;character varying;255;NO;guid
